id,nombre,apellido,dni,telefono,monto,puntos,esGanador
57,LEANDRO ARIEL,DOCTORS LOPEZ,11111111,+54 9 222222,1534.3,153,true
58,CORRADA,YANINA,11111111,+54 9 222222,53.49,5,false
59,FRANCO ANDRÃ‰S,CAVA,11111111,+54 9 222222,716.4,71,false
60,ALBERTO,ETCHEGOYEN,11111111,+54 9 222222,2012.22,201,true
61,CARLOS,ARECES,11111111,+54 9 222222,2469.84,246,true
62,JULIETA,BACCI,11111111,+54 9 222222,1591.3,159,true
63,VÃ?CTOR MANUEL,FERNÃ?NDEZ,11111111,+54 9 222222,1315.93,131,true
64,PABLO,RIBEIRO,11111111,+54 9 222222,2207.03,220,true
65,JUAN ALFREDO,TOMASINI,11111111,+54 9 222222,2400.92,240,true
66,JOSÃ‰ NORBERTO,GALAY SANTANDREU,11111111,+54 9 222222,152.95,15,false
67,PAULA,NAHIRÃ‘AK,11111111,+54 9 222222,1510.84,151,true
68,FERNANDO,CARRARI,11111111,+54 9 222222,1064.14,106,true
69,MARINA,PEYRAS,11111111,+54 9 222222,1513.63,151,true
70,MARIA ELENA,CORDERA,11111111,+54 9 222222,1926.46,192,true
71,PAULA,CARLINO,11111111,+54 9 222222,1542.9,154,true
72,LUIS ALBERTO,PEREIRA,11111111,+54 9 222222,911.04,91,false
73,MARÃ?A ROSARIO,FEUILLET TERZAGHI,11111111,+54 9 222222,703.97,70,false
74,JUAN ANGEL,BASUALDO FARJAT,11111111,+54 9 222222,1039.84,103,true
75,ALICIA,GONZÃ?LEZ-SAIBENE,11111111,+54 9 222222,110.54,11,false
76,JOSE MANUEL,CARLLINNI,11111111,+54 9 222222,1555.69,155,true
77,JONAS,PFEFFERMAN,11111111,+54 9 222222,615.04,61,false
78,HUGO ANÃ?BAL,GARCÃ?A,11111111,+54 9 222222,2489.2,248,true
79,CLARA MARÃ?A,AZARETTO,11111111,+54 9 222222,730.05,73,false
80,WALTER PATRICIO,MAC CORMACK,11111111,+54 9 222222,372.56,37,false
81,PATRICIA BÃ?RBARA,FLORES,11111111,+54 9 222222,1729.2,172,true
82,SOLEDAD,MORALES,11111111,+54 9 222222,1734.18,173,false
83,ARTURO AQUILINO,FERNÃ?NDEZ,11111111,+54 9 222222,2000.16,200,false
84,EDUARDO MARIANO,RUIZ BARLETT,11111111,+54 9 222222,1521.12,152,false
85,ESTEBAN GABRIEL,JOBBAGY GAMPEL,11111111,+54 9 222222,53.89,5,false
86,ALICIA,SÃ‰RSIC,11111111,+54 9 222222,150.88,15,false
87,ALEJANDRO DANIEL,OVIEDO,11111111,+54 9 222222,645.94,64,false
88,SERGIO ANTONIO,PELLICE,11111111,+54 9 222222,687.03,68,false
89,FERNANDO,BOTTERÃ“N,11111111,+54 9 222222,1366.48,136,false
90,ESTEBAN MARIANO,GONZALEZ,11111111,+54 9 222222,2393.43,239,false
91,JUAN FRANCISCO,ANGIOLINI,11111111,+54 9 222222,0.0,0,false
92,LORENA,ORCELLET,11111111,+54 9 222222,2008.9,200,false
93,ANGEL,CATALA,11111111,+54 9 222222,2672.68,267,false
94,CARLOS,MINAHK,11111111,+54 9 222222,0.0,0,false
95,EDUARDO,JUAREZ,11111111,+54 9 222222,1183.46,118,false
96,MARCELO CLAUDIO,PERISSÃ‰,11111111,+54 9 222222,2098.6,209,false
97,JORGE ALBERTO,SERRA,11111111,+54 9 222222,2727.05,272,false
98,GRACIELA CECILIA,GAYETZKY,11111111,+54 9 222222,1308.86,130,false
99,JORGE ADOLFO,MAZA,11111111,+54 9 222222,514.86,51,false
100,SUSANA,VAZQUEZ,11111111,+54 9 222222,2179.39,217,false
101,LEONARDO GIULIANO,TROMBETTA,11111111,+54 9 222222,317.67,31,false
102,JOSE,ESTEVEZ,11111111,+54 9 222222,613.68,61,false
103,SILVIA MARGARITA,PÃ‰REZ,11111111,+54 9 222222,1940.51,194,false
104,PEDRO,FONTANARROSA,11111111,+54 9 222222,444.1,44,false
105,GUILLERMO ANTONIO,JORGE,11111111,+54 9 222222,75.0,7,false
106,MARIANO PABLO,GRILLI,11111111,+54 9 222222,2291.7,229,false
107,GERVASIO DANIEL,PEREZ,11111111,+54 9 222222,1967.64,196,false
108,DOMINGO JAVIER,LIOTTA,11111111,+54 9 222222,892.32,89,false
109,DANIEL,ALANIZ,11111111,+54 9 222222,1335.31,133,false
110,HUGO,KLAPPENBACH,11111111,+54 9 222222,1919.92,191,false
111,RAMIRO,TAU,11111111,+54 9 222222,1689.31,168,false
112,BETINA INES,ALBRECHT,11111111,+54 9 222222,201.32,20,false
113,MATIAS RAUL,BARRIONUEVO,11111111,+54 9 222222,781.3,78,false
114,IRINA,PODGORNY,11111111,+54 9 222222,2250.31,225,false
115,FEDERICO ARIEL,ROBLEDO,11111111,+54 9 222222,1158.65,115,false
116,OSCAR ROBERTO,ESTEVEZ,11111111,+54 9 222222,2211.29,221,false
117,AGUSTINA ALEJANDRA,OJEDA,11111111,+54 9 222222,1526.13,152,false
118,MARIA FERNANDA,CUEVAS,11111111,+54 9 222222,366.73,36,false
119,PABLO MIGUEL,GRANITTO,11111111,+54 9 222222,530.31,53,false
120,CAMILO,MELANI,11111111,+54 9 222222,420.41,42,false
121,HUGO,SQUINOBAL,11111111,+54 9 222222,2049.58,204,false
122,SILVIO CLAUDIO,SUASNABAR,11111111,+54 9 222222,21.39,2,false
123,PABLO ANDRÃ‰S,LOTITO,11111111,+54 9 222222,1073.21,107,false
124,ROBERTO CARLOS,SALVAREZZA,11111111,+54 9 222222,913.03,91,false
125,ALBERTO RODOLFO MANUEL,VELZI DIAZ,11111111,+54 9 222222,1245.29,124,false
126,RAUL ANTONIO,RODRIGUEZ,11111111,+54 9 222222,344.35,34,false
127,JUAN CARLOS,REBOREDA,11111111,+54 9 222222,361.46,36,false
128,MARCOS WALTER,MEDINA,11111111,+54 9 222222,1830.7,183,false
129,ALEJANDRO,NOVAKOVICH,11111111,+54 9 222222,1137.47,113,false
130,MARIA LORENA,LÃ“PEZ RODRIGUEZ,11111111,+54 9 222222,2139.47,213,false
131,PAOLA,AZRILEVICH,11111111,+54 9 222222,856.08,85,false
132,CARLA GEORGINA,MARIOLI NOBILE,11111111,+54 9 222222,375.24,37,false
133,JESICA,TIMM,11111111,+54 9 222222,564.93,56,false
134,ALICIA GRACIELA,OMAR,11111111,+54 9 222222,1237.68,123,false
135,ERIK DANIEL,ZIMMERMANN,11111111,+54 9 222222,999.78,99,false
136,IGNACIO,IRURZUN,11111111,+54 9 222222,2481.7,248,false
137,CARLOS ENRIQUE,BELLISIO,11111111,+54 9 222222,1909.36,190,false
138,LAURA ESTELA,VEGA,11111111,+54 9 222222,954.67,95,false
139,ANDREA FABIANA,CARRIL,11111111,+54 9 222222,2132.07,213,false
140,MARÃ?A EUGENIA,SUÃ?REZ,11111111,+54 9 222222,914.81,91,false
141,ALEJANDRO DANIEL,NADRA,11111111,+54 9 222222,62.29,6,false
142,DIEGO,PAZOS,11111111,+54 9 222222,2112.25,211,false
143,CARMEN DE  LAS MERCEDES,SANTANDER,11111111,+54 9 222222,1559.06,155,false
144,OMAR DARIO,GARRO,11111111,+54 9 222222,285.08,28,false
145,EDUARDO HORACIO,LEGASPE,11111111,+54 9 222222,553.49,55,false
146,CRISTINA,GOBELLO,11111111,+54 9 222222,1231.34,123,false
147,ANA,SALLENAVE,11111111,+54 9 222222,1037.29,103,false
148,GUILLERMO VIRGINIO,MARTÃ?,11111111,+54 9 222222,436.68,43,false
149,EDMUNDO IGNACIO,CABRERA FISCHER,11111111,+54 9 222222,591.28,59,false
150,MAURICIO FERMIN,CONTRERAS,11111111,+54 9 222222,1478.92,147,false
151,EDUARDO OMAR,SOSA,11111111,+54 9 222222,1054.01,105,false
152,EZEQUIEL RAMIRO,ESCALANTE LEIVA,11111111,+54 9 222222,1704.87,170,false
153,MARÃ?A EUGENIA,HUINCHULEF,11111111,+54 9 222222,789.58,78,false
154,OTILIA MARGARITA GABRIELA,SCHIAVONI,11111111,+54 9 222222,1404.89,140,false
155,ANDRÃ‰S TOMÃ?S,HOHENDAHL,11111111,+54 9 222222,887.27,88,false
156,CLAUDIA MARILIN,OJEDA,11111111,+54 9 222222,1449.5,144,false
157,HERNAN OSVALDO,GONZALEZ,11111111,+54 9 222222,1938.15,193,false
158,LUIS ALEJANDRO,AUAT,11111111,+54 9 222222,549.42,54,false
159,NORMA LILIANA,RABAL,11111111,+54 9 222222,283.44,28,false
160,FERNANDO,IRIGARAY,11111111,+54 9 222222,358.51,35,false
161,GONZALO,GRANARA,11111111,+54 9 222222,2149.46,214,false
162,AMELIA SARA,RAMÃ?REZ,11111111,+54 9 222222,896.24,89,false
163,JOSÃ‰ LUIS,OTERO MARTINEZ,11111111,+54 9 222222,1129.31,112,false
164,MARTÃ?N,ALURRALDE,11111111,+54 9 222222,0.0,0,false
165,ENRIQUE JOSÃ‰,BARAN,11111111,+54 9 222222,973.57,97,false
166,SANDRA,NICOSIA,11111111,+54 9 222222,194.36,19,false
167,LUIS GUSTAVO,VILA,11111111,+54 9 222222,2203.23,220,false
168,FRANCISCO DARÃ?O,MALDONADO,11111111,+54 9 222222,996.62,99,false
169,ELENA ELVIRA,VINELLI,11111111,+54 9 222222,1223.12,122,false
170,FRANCISCO,ESPINOZA,11111111,+54 9 222222,2174.31,217,false
171,ELIO ANDRES,SORIA,11111111,+54 9 222222,1589.35,158,false
172,JUAN JOSÃ‰,MARENCO,11111111,+54 9 222222,2568.64,256,false
173,GUSTAVO EDGARDO,VILLAVICENCIO,11111111,+54 9 222222,790.52,79,false
174,ALEJANDRO GUSTAVO,ULRICH,11111111,+54 9 222222,935.22,93,false
175,JAVIER ANDRES,GARCIA,11111111,+54 9 222222,1294.06,129,false
176,ANA MARÃ?A,ANDREETTA,11111111,+54 9 222222,1035.34,103,false
177,MARCELO ANDRÃ‰S,TAVELLA,11111111,+54 9 222222,1536.03,153,false
178,ERNESTO MARCELO,MISLEJ,11111111,+54 9 222222,677.4,67,false
179,JUAN,FORTUNATO,11111111,+54 9 222222,668.23,66,false
180,AGUSTÃ?N,SALVIA,11111111,+54 9 222222,646.8,64,false
181,CRISTIAN,RABANAL,11111111,+54 9 222222,1150.09,115,false
182,MARCELO CÃ‰SAR,CLERICI,11111111,+54 9 222222,107.6,10,false
183,SEBASTIAN GABRIEL,ZUNINO,11111111,+54 9 222222,2711.11,271,false
184,SANDRA ELISABET,DÃ?AZ,11111111,+54 9 222222,0.0,0,false
185,JUAN,SERRA,11111111,+54 9 222222,2550.54,255,false
186,NESTOR EMILIO,MASSA,11111111,+54 9 222222,2023.91,202,false
187,DIEGO CASAR,LUZZATTO,11111111,+54 9 222222,1008.99,100,false
188,LISANDRA PAMELA,ZAMBONI,11111111,+54 9 222222,1954.65,195,false
189,JUAN JOSE,CORACE,11111111,+54 9 222222,1692.45,169,false
190,MARCELO GUSTAVO,MOLINA,11111111,+54 9 222222,1308.45,130,false
191,MELISA CANDELA DE LOS ANGELES,CROCCO,11111111,+54 9 222222,965.82,96,false
192,MARIANO,FELIZ,11111111,+54 9 222222,28.03,2,false
193,GABRIELA LAURA,CAMPANA,11111111,+54 9 222222,143.57,14,false
194,GUILLERMO GUSTAVO,CICALESE,11111111,+54 9 222222,74.57,7,false
195,HORACIO PASCUAL,LEONE,11111111,+54 9 222222,309.42,30,false
196,SILVIO,GONNET,11111111,+54 9 222222,1723.4,172,false
197,SERGIO,MORRESI,11111111,+54 9 222222,78.13,7,false
198,CESAR,FERRO,11111111,+54 9 222222,772.05,77,false
199,ARIEL GUSTAVO,MIROPOLSKY,11111111,+54 9 222222,0.0,0,false
