persona_id;nombre;apellido;edad;dni;telefono
103;JOSE;ESTEVEZ;45;8843499;29976214
104;SILVIA MARGARITA;PÉREZ;60;615970;29965906
105;PEDRO;FONTANARROSA;32;4723844;29999734
106;GUILLERMO ANTONIO;JORGE;49;9801173;29972933
107;MARIANO PABLO;GRILLI;51;5570833;29962328
108;GERVASIO DANIEL;PEREZ;38;9142597;29971041
109;DOMINGO JAVIER;LIOTTA;50;3234995;29976205
110;DANIEL;ALANIZ;56;5254355;29952231
111;HUGO;KLAPPENBACH;62;1766495;29979060
112;RAMIRO;TAU;41;4454879;29982919
113;BETINA INES;ALBRECHT;43;8263384;29979282
114;MATIAS RAUL;BARRIONUEVO;36;6372206;29962060
115;IRINA;PODGORNY;56;1594394;29993522
116;FEDERICO ARIEL;ROBLEDO;37;1734915;29980715
117;OSCAR ROBERTO;ESTEVEZ;63;10456918;29958629
118;AGUSTINA ALEJANDRA;OJEDA;41;7789360;29963849
119;MARIA FERNANDA;CUEVAS;39;6839069;29962262
120;PABLO MIGUEL;GRANITTO;48;2485658;29978346
121;CAMILO;MELANI;41;10078082;29955784
122;HUGO;SQUINOBAL;66;1541066;29960263
123;SILVIO CLAUDIO;SUASNABAR;57;1303751;29963419
124;PABLO ANDRÉS;LOTITO;49;7546123;29981485
125;ROBERTO CARLOS;SALVAREZZA;67;4258765;29998887
126;ALBERTO RODOLFO MANUEL;VELZI DIAZ;41;8056923;29954996
127;RAUL ANTONIO;RODRIGUEZ;69;6953427;29992701
128;JUAN CARLOS;REBOREDA;63;4092430;29990243
129;MARCOS WALTER;MEDINA;42;10015825;29990573
130;ALEJANDRO;NOVAKOVICH;38;1152186;29992018
131;MARIA LORENA;LÓPEZ RODRIGUEZ;42;878161;29972547
132;PAOLA;AZRILEVICH;44;1259836;29993255
133;CARLA GEORGINA;MARIOLI NOBILE;34;2317577;29958283
134;JESICA;TIMM;40;894422;29958346
135;ALICIA GRACIELA;OMAR;69;8989841;29997254
136;ERIK DANIEL;ZIMMERMANN;60;4043657;29977029
137;IGNACIO;IRURZUN;31;4770428;29974677
138;CARLOS ENRIQUE;BELLISIO;62;10298969;29967382
139;LAURA ESTELA;VEGA;60;10141722;29951070
140;ANDREA FABIANA;CARRIL;51;565912;29997225
141;MARÍA EUGENIA;SUÁREZ;40;5669315;29951763
142;ALEJANDRO DANIEL;NADRA;44;2048671;29960287
143;DIEGO;PAZOS;40;7043525;29982016
144;CARMEN DE  LAS MERCEDES;SANTANDER;61;8590199;29978473
145;OMAR DARIO;GARRO;45;5313165;29952965
146;EDUARDO HORACIO;LEGASPE;63;3075480;29966819
147;CRISTINA;GOBELLO;58;4740570;29962106
148;ANA;SALLENAVE;45;4964614;29996008
149;GUILLERMO VIRGINIO;MARTÍ;71;853784;29988122
150;EDMUNDO IGNACIO;CABRERA FISCHER;65;9073803;29967462
151;MAURICIO FERMIN;CONTRERAS;68;7045257;29984335
152;EDUARDO OMAR;SOSA;60;2337095;29997938
153;EZEQUIEL RAMIRO;ESCALANTE LEIVA;38;3627897;29972601
154;MARÍA EUGENIA;HUINCHULEF;40;209779;29951695
155;OTILIA MARGARITA GABRIELA;SCHIAVONI;59;5450747;29987703
156;ANDRÉS TOMÁS;HOHENDAHL;59;10097530;29951511
157;CLAUDIA MARILIN;OJEDA;43;6874965;29974307
158;HERNAN OSVALDO;GONZALEZ;37;9065900;29962101
159;LUIS ALEJANDRO;AUAT;58;1159602;29975628
160;NORMA LILIANA;RABAL;48;10463046;29974755
161;FERNANDO;IRIGARAY;53;4257358;29958034
162;GONZALO;GRANARA;28;2613273;29976098
163;AMELIA SARA;RAMÍREZ;69;3386283;29996043
164;JOSÉ LUIS;OTERO MARTINEZ;59;9274301;29988178
165;MARTÍN;ALURRALDE;61;7990493;29980384
166;ENRIQUE JOSÉ;BARAN;79;11088888;29998727
167;SANDRA;NICOSIA;55;7177210;29998796
168;LUIS GUSTAVO;VILA;60;10592599;29950456
169;FRANCISCO DARÍO;MALDONADO;56;8875722;29982851
170;ELENA ELVIRA;VINELLI;66;4749905;29974613
171;FRANCISCO;ESPINOZA;52;468738;29989439
172;ELIO ANDRES;SORIA;39;6964933;29961956
173;JUAN JOSÉ;MARENCO;61;10876919;29995873
174;GUSTAVO EDGARDO;VILLAVICENCIO;51;7259875;29990868
175;ALEJANDRO GUSTAVO;ULRICH;47;2148257;29955380
176;JAVIER ANDRES;GARCIA;35;9510252;29963329
177;ANA MARÍA;ANDREETTA;67;10296728;29961986
178;MARCELO ANDRÉS;TAVELLA;57;3317139;29963031
179;ERNESTO MARCELO;MISLEJ;41;9359849;29988983
180;JUAN;FORTUNATO;37;8410972;29953268
181;AGUSTÍN;SALVIA;62;9258331;29985706
182;CRISTIAN;RABANAL;34;5377534;29990342
183;MARCELO CÉSAR;CLERICI;51;2060329;29954734
184;SEBASTIAN GABRIEL;ZUNINO;39;5376936;29958376
185;SANDRA ELISABET;DÍAZ;56;5452407;29974940
186;JUAN;SERRA;66;4671942;29953707
187;NESTOR EMILIO;MASSA;78;2185397;29984773
188;DIEGO CÉSAR;LUZZATTO;46;3563903;29952858
189;LISANDRA PAMELA;ZAMBONI;41;6411574;29950439
190;JUAN JOSE;CORACE;64;10607353;29990114
191;MARCELO GUSTAVO;MOLINA;46;3509586;29960939
192;MELISA CANDELA DE LOS ANGELES;CROCCO;43;10217035;29975809
193;MARIANO;FELIZ;45;4652344;29968680
194;GABRIELA LAURA;CAMPANA;45;6308972;29977947
195;GUILLERMO GUSTAVO;CICALESE;62;10151143;29997323
196;HORACIO PASCUAL;LEONE;62;413928;29970238
197;SILVIO;GONNET;46;4852645;29971301
198;SERGIO;MORRESI;46;8834462;29994109
199;CESAR;FERRO;62;7083336;29958016
200;ARIEL GUSTAVO;MIROPOLSKY;51;299289;29983862
201;FEDRA;VILLAMIL;51;10770306;29977274
202;PABLO DANIEL;VELAZQUEZ;49;1250524;29953264
203;RICARDO FERNANDO;CRESPO;62;4759408;29961006
204;ROBERTO ESTEBAN;CARBALLO;34;1063449;29995352
205;SILVIA CRISTINA;GNAEDINGER;52;3436546;29997616
206;GUILLERMO RAÚL;ONDARTS;72;572620;29988957
207;JUAN CARLOS MARIANO;CIANCIARDO;48;2065515;29975853
208;PABLO TGNACIO;TRIGO;44;1655316;29979318
209;RODRIGO FEDERICO;HIERRO;42;8767201;29984648
210;JORGE BENJAMÍN;AQUINO;50;6679915;29985972
211;ANDRÉS GABRIEL;FREIJOMIL;47;10351982;29957078
212;JUAN EDUARDO;GALLO;60;657964;29987759
213;FABIO DANIEL;SACCONE;52;8320952;29964155
214;ANDRES;ARIAS;42;489977;29998960
215;MARIANA GABRIELA;GARCIA;43;8999926;29987345
216;MARÍA EUGENIA;MOREIRA;39;5185360;29983856
217;MIRTA SUSANA;IRIONDO;65;8308109;29996586
218;MÓNICA ALEJANDRA;PLAZAOLA;60;1923057;29973096
219;NELIA TERESITA;VERMOUTH;75;1140289;29953320
220;ALBERTO ORLANDO;MARIANI;59;9118171;29977301
221;JUAN PABLO;SCARSI;41;1892944;29988195
222;MARIA ROSA EUGENIA;LEDESMA;67;1787937;29965841
223;MARTIN;BLASCO;41;4877289;29964579
224;NATASA;LOIZOU;37;8355268;29987380
225;ÁNGELA VIRGINIA;CORENGIA;46;9393487;29959138
226;FERNANDO DIEGO;CARAZO;40;7626400;29974064
227;JUAN DANIEL;COSTANZO;37;3462987;29963504
228;NATALIA SOL;BUZZI;40;6587642;29994830
229;JOSÉ ALEJANDRO;TORRES;57;3505911;29974421
230;SUSANA;AZZOLLINI;59;3438481;29994123
231;NORA;LAC PRUGENT;66;1853190;29990171
232;MARCELA;MURATORI;33;7108743;29962257
233;GISELA ISABEL;DELFINO;40;1555948;29971639
234;CARLOS JOSÉ;CATTENA;36;10859709;29960874
235;LEANDRO;ANGELI;43;1051630;29955534
236;GERMAN;LOKER;42;778044;29998817
237;ENRIQUE;CRUZ;51;2349020;29979636
238;MARIA INES;CARZOLIO;79;6512360;29961719
239;MAGALI INES;GONZALEZ OYARZUN;42;4439318;29953850
240;JOAQUÍN;GARCILAZO;41;5441180;29989593
241;ANTONIO RICARDO;CASTRO LECHTALER;80;11073620;29972361
242;ELIDA ELSA;VANELLA;73;6535255;29972952
243;FLORENCIA;MEDICI;37;6216788;29957734
244;BEATRIZ ALIDA;PEREZ;65;5497528;29996046
245;DANIEL ALBERTO;DE PIANTE VICIN;58;10669140;29985347
246;CAROLINA;DUEK;40;2258769;29970080
247;JUAN MANUEL CEFERINO;LARROSA;47;3544509;29954422
248;MARIO LUIS;LÓPEZ BARRIOS;60;2344721;29983749
249;BETTINA LAURA;MARCHISIO;47;3352364;29954617
250;ANDRÉS ADOLFO;TESTI;41;1654502;29983163
251;JAVIER HUGO;CANDO;40;2773852;29996286
252;HORACIO MIGUEL HERNÁN;ZAPATA;33;6922603;29971175
253;CARLOS;FONTELA;56;6858158;29965470
254;MARCIO;DEGIOVANNINI;38;3667032;29971072
255;ALAN DAVID;MARCH;60;306559;29951010
256;EDITH MERCEDES DEL VALLE;SAVERE LEDO;62;3141659;29991593
257;FRANCISCO AMÉRICO;SIRVENTE;67;4443302;29967985
258;JOSÉ MARÍA;PUCCIO;61;7692178;29995051
259;GUSTAVO;SCHNEIDER;33;4558369;29964344
260;JUAN SANTIAGO;BARANDIARÁN;42;7263233;29950360
261;LAURA;FARAH;43;4565250;29961439
262;SANDRA VANESSA;WELSH;51;6973240;29985047
263;MIGUEL SALVADOR;CARBONI;39;8350993;29961500
264;ALFREDO MARIO;SOTO;53;10088870;29997448
265;MARIA;BONICATTO;49;10901445;29956930
266;ARIEL OSCAR;RICCIONI;58;424643;29982304
267;MARIA EUGENIA;PAROLO;52;8420687;29989948
268;GUADALUPE;LUCERO;39;8375963;29983269
269;ALFREDO;RUSSO;79;1954221;29957882
270;VICTOR HUGO;LALLANA;68;10635688;29990091
271;JORGE EDUARDO;CALLEJO;58;1252765;29952271
272;DANIEL;BOLLO;67;8128760;29965256
273;JOHN;APPLEGARTH;81;3437110;29958831
274;DARÍO;FERNÁNDEZ;42;5922298;29959120
275;SERGIO EDUARDO;KARSVNIE;46;1428428;29988983
276;FERNANDO;FARALDO;42;7158674;29980494
277;MARIA ESTER;LUCCA;66;6928146;29970389
278;CLAUDIO;TERRENO;34;911513;29986531
279;HERBERT;PAIVA;40;10255705;29958695
280;OMAR;SUED;48;1549020;29988609
281;RICARDO ANÍBAL;GUICHÓN;63;1745183;29956483
282;VALERIA IRENE;FINK;41;2305713;29978226
283;CARINA;CESAR;48;10194636;29996887
284;MARIA FLORENCIA;ARAOZ;41;6730365;29974317
285;ESTEBAN;BALSEIRO;62;1402740;29962093
286;GUSTAVO;ORTIZ;78;1172263;29971857
287;YANINA ÁNGELA;REMERSARO;29;1601209;29990415
288;RAMIRO;GONZÁLEZ MATUTE;50;8874015;29994664
289;JORGE EDUARDO;MITELMAN;75;1798709;29994232
290;VERONICA LAURA;MARTINEZ;41;11047054;29974902
291;LAURA ANDREA;CORZO;39;3466164;29951675
292;JUAN MANUEL;CABADO;40;10507138;29982381
293;LÍA ELIZABET;OROSCO SEGURA;59;9381890;29950314
294;PABLO ALBERTO;WEIDMANN;45;3013298;29963321
295;VERÓNICA;MARTÍNEZ;37;5815108;29951743
296;MARIO ALBERTO;COZZUOL;59;1931563;29978845
297;MARIA VICTORIA;MORAN;40;7720052;29994476
298;JORGE JOSE LUIS;FERRANTE;77;6051778;29984950
299;MARÍA FLORENCIA;RIZZO;39;8013419;29970661
300;FERNANDO;BONATERRA;68;9155586;29966387
301;DANIEL;SANTILLI;70;4113464;29962578
302;MARIELA ALEJANDRA;COUDANNES AGUIRRE;45;10889518;29953821
303;EDGARDO ROLANDO;ROMANO;43;2004755;29991734
304;HILDA MABEL;GUEVARA;54;1441440;29990688
305;HERNÁN NORBERTO;ERMALIUK;38;10241342;29988253
306;MARTIN;PRODAN;38;1003145;29975210
307;SABRINA EMILCE;LOGIOVINE;36;3000670;29981404
308;PATRICIA ALEJANDRA;CORDOBA;55;5840390;29981161
309;GLORIA;BALLESTEROS;48;10922462;29959448
310;MARIA BEATRIZ;PITA CARRANZA;53;8790996;29970284
311;VERONICA LAURA;WAHLBERG;39;898496;29996111
312;DORA CRISTINA;MICELI;73;10315556;29989838
313;MARCELA SUSANA;FUSHIMI;52;2921148;29987997
314;PATRICIA ALEJANDRA;MONTINI;52;7934007;29987335
315;ALEJANDRO HUGO;DEL VALLE;48;5778261;29954562
316;FERNANDO PABLO;LANDINI;41;4370590;29964344
317;MARÍA DE LOS ROSARIOS;MATTIVI;53;1364797;29984858
318;JAVIER ERNESTO;KOLODZIEJ;40;1275348;29970852
319;MAIA;BURGUES;30;6814173;29997149
320;ANDRES;ROUSSOS;51;7857435;29951555
321;MARCOS;PIÑERO;43;5711351;29977462
322;RICARDO OSCAR;PASOLINI;53;2921905;29974098
323;MATIAS;TOLEDO;45;4088557;29955427
324;JONATHAN;PARK;38;1980162;29999686
325;LUCÍA ISABEL;PASSONI;64;5784677;29967046
326;CLAUDIA IRIS;BAZÁN;61;9799827;29955244
327;VIVIANA NOEMÍ;FERNÁNDEZ MALDONADO;36;4922958;29963676
328;BERNARDO SAMUEL;KERMAN;65;1046402;29998565
329;PABLO HIDALGO DEL CASTILLO;HIDALGO DEL CASTILLO;30;8867375;29960877
330;PABLO;FORNI;52;9883497;29957542
331;SARA ALFONSINA DORA;ALDABE BILMES;64;4758160;29959040
332;ADRIANA DEL VALLE;PASTORIZA DE TARIFA;59;4820151;29987571
333;MARIA BELÉN;NOCETI;46;938052;29978472
334;ULISES DAVID;OLIVARES;39;2286106;29963296
335;EDUARDO MARCELO;SORIA;59;4229050;29975685
336;CARLOS DANIEL ALBERTO;DE LA VEGA ELENA;45;7435139;29972466
337;ADRIANA BEATRIZ;BENTANCOR;60;7571333;29957175
338;VERÓNICA ADRIANA;DE LUCA SAROBE;50;10037640;29997341
339;OSCAR DANIEL;CHUK;58;10547926;29960149
340;EMILIO;DONOSO;42;10581109;29999891
341;MARÍA LEONOR;PAVEZ GIUSTI;55;5381302;29996882
342;SEBASTIÁN LEANDRO;ALIOTO;42;7433710;29973102
343;JUAN MANUEL;RODRIGUEZ;36;9007092;29968695
344;JUAN EMILIO;SALA;38;3825189;29987479
345;JOSÉ MATILDO;PAREDES;46;2478287;29978797
346;MARIANA CAROLINA;MARCHESE;41;4765280;29950108
347;ARIEL RAMÓN;FONTANA;36;2042712;29969299
348;MANUEL JOSÉ;CASTILLO;73;10767959;29968655
349;MARCELO FABIÁN;SZMIDT;47;2757076;29979295
350;BRUNILDA;CASETTA;52;7970861;29995107
351;ALEJANDRO;VIDELA;52;9378994;29983552
352;MIRIAN INÉS;CAPELARI;57;8616567;29983114
353;SILVIA MARISA;RAMPELLO;52;1140293;29964139
354;JUAN ANTONIO;DIEZ;42;1383075;29971130
355;RAQUEL MERCEDES;HAELTERMAN;59;6691683;29954067
356;BLANCA ISABEL;CANTEROS;65;9193428;29963181
357;JUAN LUIS;BRUSES;59;7646615;29966722
358;MARIA SILVINA;DHO;41;4458821;29997243
359;ROSANA MARIA;LOBAYAN;53;5709057;29996431
360;ALDO;CALZOLARI;61;7292948;29967372
361;SERGIO ROBERTO;ROCAMORA ALVAREZ;55;9039808;29955087
362;GERMAN ANIBAL;GOMEZ;39;4697662;29958867
363;RODRIGO MAURICIO;OTAROLA;43;1048080;29962137
364;MARIA LILIANA;QUARTINO;55;207095;29977875
365;GRISEL;OLEA;37;10707716;29992594
366;MATIAS;GUERSON;28;6564489;29990895
367;FRANCISCO JOSE;LLORET SARMIENTO;74;1766972;29977496
368;RUTH;HEINZ;59;4957292;29962872
369;NANCY EDITH;AREVALO GALINDO;36;10240119;29984249
370;GABRIELA;BORTZ;32;1207852;29988308
371;MARIANO HERNÁN;FONTICELLI;46;9159617;29967963
372;FERNANDO EMMANUEL;FRATI;37;857959;29987268
373;YPBYCALEJANDRA;ALVAREZ;60;1366069;29978489
374;LARISA ESTEFANÍA;CYBULSKI;49;4209756;29971918
375;HERNAN LEANDRO;ARBOLEYA;29;8365278;29959781
376;MIGUEL EDGARDO VICENTE;TROTTA;57;8448912;29964408
377;ALAN FABRICIO;CARTANNILICA;30;8423189;29990036
378;SERGIO OSCAR;ALUNNI;53;10781255;29987157
379;AMERICO JOSE;DEGIOANNI;59;10300071;29964764
380;LEANDRO NÉSTOR;LUCIANI CONDE;49;1084808;29959845
381;MARIANO CARLOS;GRUSCHETSKY;48;781424;29964019
382;RAMÓN ARÍSTIDES;ALVAREZ;69;6169336;29977307
383;EZEQUIEL AGUSTIN;BALDIZZONI;38;6669616;29950649
384;GUILLERMO RAUL;MACÍAS;53;3085336;29950419
385;DANIEL ALBERTO;SCOLLO;62;1139302;29969153
386;PABLO GONZALO;PYTEL;40;6328367;29967382
387;CRISTINA GRACIELA;SÁNCHEZ;70;3790386;29994275
388;MARIA ALEJANDRA;VRANIC;57;9025297;29962537
389;GLADYS DANIELA;NEUENDORF;38;9916515;29976505
390;JULIO ANDRES;LONAC;43;7688367;29981146
391;ROBERTO;GIBBONS;75;487293;29969345
392;FEDERICO IGNACIO;BUJÁN;39;4181115;29963471
393;SUSANA ZULEMA;YACOBAZZO;68;3477584;29983226
394;PATRICIA SILVINA;VARELA;50;8298457;29987911
395;DANIEL JORGE;SCHACHTER;65;7541354;29982826
396;CECILIA BEATRIZ;GUALDIERI;66;222306;29976426
397;ESTEBAN;MOCSKOS;45;3770890;29988510
398;GERMÁN ERNESTO;GOMEZ;32;3022006;29967102
399;GABRIEL HUGO;DATA;59;2785714;29977705
400;JORGE BERNARDO;PREZ;62;4255462;29968815
401;MIRIAM RUTH;WLOSKO;56;6524168;29966820
402;MARIA JOSE;GARCIA BARASSI;50;1507337;29971175
403;FEDERICO;PACHECO;39;6215295;29980184
404;ESTEBAN;BECKWITH;38;354357;29950467
405;CLAUDIO;FALAVIGNA;38;4194290;29975414
406;VICTORIA INÉS MARÍA;SÁNCHEZ ANTELO;40;8343841;29990223
407;MARÍA EUGENIA;GARCÍA;59;3902645;29956032
408;RAUL;MIRANTES;50;5987297;29982852
409;SEBASTIAN CRUZ;BARBOSA;47;6590127;29959084
410;MARA CAROLINA;SASAL;45;1688777;29976076
411;MAURA VERÓNICA;RODRÍGUEZ;40;6196855;29972610
412;EZEQUIEL;NAZER;39;882467;29998609
413;ADRIAN;TURJANSKI;45;6235405;29958519
414;GABRIEL PABLO;MARCOLONGO;37;9892827;29996830
415;CLAUDIA ALEJANDRA;MAZZITELLI;51;10764608;29976225
416;RUBEN DARIO;GRAÑA;35;10819084;29990381
417;ROBERTO;CITTADINI;66;4729226;29989690
418;LUCIANA;BIANCO;35;2329185;29993867
419;DIANA MATILDE;MIELNICKI;60;5764803;29955654
420;ALEJANDRO;PERTICARI;61;6916412;29951626
421;ARI;IGLESIAS;42;3961447;29993933
422;ENZO ALBERTO;DARI;53;2057037;29962022
423;DANIEL ROBERTO;TÁVORA MAC CORMACK;56;4676557;29988806
424;JOAQUÍN PABLO;MUELLER;68;2255375;29969693
425;MAXIMO LISANDRO;RIVAROLA;43;3286206;29985265
426;SILVINA ELIZABETH;WILKOWSKY;51;5493072;29973157
427;H ESTEBAN;HOPP;66;1850877;29979696
428;ELENA;TABER;65;9101178;29993617
429;ATILIO JOSÉ;MANGOLD;66;5388601;29969756
430;ALBERTO ALEJANDRO;GUGLIELMONE;70;4463893;29967958
431;PABLO FERNANDO;VELTRI;37;7002489;29966772
432;SEBASTIAN ARIEL;MARTINS;30;2246019;29959180
433;JAVIER DARIO;FRESNADILLO;39;4697147;29984245
434;ABEL;MARTINEZ;47;261702;29987683
435;JULIO HORACIO;ELVERDIN;66;2190941;29982939
436;DIEGO JAVIER;ZEA;34;7672878;29979113
437;PABLO MARTIN;ARDENGHI;36;3187525;29967614
438;DANIEL MARCELO;CAMPOS;64;9420137;29972685
439;VALERIA;ARZA;45;2234469;29977549
440;LUCIANA;DAVID;31;4016480;29954298
441;JUAN MANUEL;NIVEYRO;46;9401051;29963560
442;FERNANDO ADRIÁN;FARIÑA;34;936933;29957743
443;ANGEL ADRIÁN;CATALDI;63;1721030;29975238
444;ANGEL JOSE;MARZOCCA;64;2153654;29978243
445;CELSO FRANCISCO;PÉREZ;74;5827676;29985238
446;LAURA BEATRIZ;STEREN;56;9219864;29978943
447;FEDERICO ANDRES;VIVA;47;6372260;29981343
448;CARLOS ALBERTO;ROSSETTI;54;8556302;29961469
449;LAURA PATRICIA;DOPCHIZ;55;3298621;29963178
450;MARIA FLORENCIA;QUIROGA;47;1985016;29972641
451;ANA;BIDIÑA;55;7689418;29980402
452;MARTÍN;ANSALDO;60;260378;29962678
453;CARLOS VINICIO;ERAZO CHEZA;48;7559638;29953772
454;ANALÍA;BERINSTEIN;54;4724787;29990522
455;MIGUEL WALTER;FORNES;58;5541005;29957464
456;GUSTAVO ENRIQUE;CHIARAMONTE;58;9449601;29971877
457;CARLOS EUGENIO;TONN;69;2326491;29974757
458;MARCELO SANDRO;NAZZARRO;52;1346306;29989473
459;CLAUDIO TOMAS;LOBO;49;7695110;29967117
460;ERNESTO JUAN ALFREDO;SPÄTH;70;3215460;29962390
461;GUIDO ALBERTO;KÖNIG;47;10565608;29975385
462;NAHUEL;ROMERO;43;10751174;29983837
463;EUGENIA MARÍA;MARQUEZ;59;7483156;29957162
464;MARIA EUGENIA;DE SAN PEDRO;56;938635;29984085
465;ELIO RODOLFO;PARISÍ;56;11047756;29959955
466;DARÍO MIGUEL;MARTIN;40;1294982;29979245
467;PATRICIA;SCHILARDI;53;9533228;29975144
